id,GEO_ID,GEO_ID_F,NAME,NAICS2017,NAICS2017_F,INDLEVEL,NAICS2017_LABEL,SUBSECTOR,SECTOR,INDGROUP,YEAR,RCPTOT,RCPTOT_S,PAYANN,PAYANN_S,PAYQTR1,PAYQTR1_S,EMP,EMP_S,EMPQ1PW,EMPQ1PW_S,HOURS,HOURS_S,PAYANPW,PAYANPW_S,BENEFIT,BENEFIT_S,BENHEA,BENHEA_S,BENPEB,BENPEB_S,BENPEC,BENPEC_S,BENOTH,BENOTH_S,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTMPRT_S,CSTRSL,CSTRSL_S,CSTFU,CSTFU_S,CSTELEC,CSTELEC_S,CSTCNT,CSTCNT_S,ELECPCH,ELECPCH_S,ELECGEN,ELECGEN_S,ELECSLD,ELECSLD_S,VALADD,VALADD_S,INVTOTB,INVTOTB_S,INVFINB,INVFINB_S,INVWIPB,INVWIPB_S,INVMATB,INVMATB_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,CEXTOT,CEXTOT_S,CEXBLD,CEXBLD_S,CEXMCH,CEXMCH_S,CEXMCHA,CEXMCHA_S,CEXMCHC,CEXMCHC_S,CEXMCHO,CEXMCHO_S,RPTOT,RPTOT_S,RPBLD,RPBLD_S,RPMCH,RPMCH_S,PCHTT,PCHTT_S,PCHTEMP,PCHTEMP_S,PCHCMPQ,PCHCMPQ_S,PCHEXSO,PCHEXSO_S,PCHDAPR,PCHDAPR_S,PCHCSVC,PCHCSVC_S,PCHRPR,PCHRPR_S,PCHRFUS,PCHRFUS_S,PCHADVT,PCHADVT_S,PCHPRTE,PCHPRTE_S,PCHTAX,PCHTAX_S,PCHOEXP,PCHOEXP_S,RCPTOT_IMP,PAYANN_IMP,EMP_IMP
1,0100000US,null,United States,31-33,null,2,Manufacturing,null,31,null,2018,5890662939,0.1,692979103,0.1,175598627,0.1,11633292,0.1,8323367,0.1,16162235,0.1,405759893,0.1,210601487,0.1,90094626,0.1,13937041,0.2,21711846,0.1,84857974,0.1,3301381002,0.1,3028261112,0.1,133399568,0.3,33458648,0.2,51361641,0.1,54900033,0.2,749629450,0.1,104924813,0.1,30451708,0.2,2606338235,0.1,633477853,0.1,233756625,0.2,182130101,0.2,217591127,0.1,669739080,0.1,246195924,0.2,186747099,0.2,236796057,0.1,179142334,0.3,36579021,0.5,142563313,0.4,6126658,1.6,5569609,0.9,130867046,0.4,40303233,0.3,27593759,0.3,12709474,0.4,393631662,0.3,39831373,0.8,6076889,0.8,5083599,0.6,6362314,0.6,5409741,0.6,55209512,0.2,14801149,0.5,17006835,0.7,34675581,0.3,19311138,0.4,189863530,0.4,30% to less than 40%,20% to less than 30%,40% to less than 50%
2,0100000US,null,United States,31-33,null,2,Manufacturing,null,31,null,2019,5731187355,0.1,699745812,0.1,179287080,0.1,11507413,0.1,8247614,0.1,16041273,0.1,410478536,0.1,213462393,0.1,91289357,0.1,13647692,0.2,22274060,0.1,86251284,0.1,3180441183,0.1,2915895513,0.1,127782034,0.4,32030407,0.1,50357309,0.1,54375919,0.3,737942218,0.1,105344035,0.1,31613579,0.1,2579381829,0.1,661792502,0.1,243204704,0.2,186154382,0.2,232433416,0.1,696222947,0.1,250828962,0.1,207165782,0.2,238228203,0.1,177615669,0.2,36533090,0.5,141082579,0.3,5455656,0.9,5442159,0.8,130184763,0.3,40751122,0.2,27543500,0.3,13207623,0.3,402236742,0.2,40330338,0.5,6486659,0.5,5352359,0.5,6325311,0.9,5580849,0.6,57011486,0.3,14843941,0.3,16307865,0.4,36000994,0.3,19561082,0.3,194435858,0.3,40% to less than 50%,30% to less than 40%,40% to less than 50%
3,0100000US,null,United States,311,null,3,Food manufacturing,311,31,null,2018,784628928,0.1,68773595,0.2,16846104,0.2,1494203,0.2,1212451,0.2,2371404,0.2,48779572,0.2,20474909,0.2,9351557,0.2,1109773,0.5,1531063,0.6,8482516,0.3,483552782,0.1,458842053,0.1,13173525,1,3486863,0.3,5633505,0.4,2416836,0.7,72852157,0.5,2030288,0.9,213708,0.2,301061331,0.2,54770213,0.2,28997658,0.2,5996870,0.8,19775684,0.3,55598402,0.2,28897626,0.2,6082088,1,20618688,0.4,21601701,0.9,4872411,1,16729290,0.9,645975,2,511822,2.6,15571493,1,4620417,1,2859839,1.5,1760578,0.9,42837320,0.8,4792463,1.7,331909,1.8,164245,2.1,217686,1.9,374194,2,6745137,0.7,2641843,1,3898438,0.8,2451419,0.8,1743435,1.4,19476552,1.2,40% to less than 50%,30% to less than 40%,40% to less than 50%
4,0100000US,null,United States,311,null,3,Food manufacturing,311,31,null,2019,794130354,0.2,70070750,0.3,17385762,0.3,1487229,0.3,1208056,0.3,2375000,0.4,49934879,0.2,20990578,0.2,9511290,0.2,1103799,0.4,1595344,0.6,8780145,0.3,485135354,0.2,460952820,0.2,12773948,1.5,3415623,0.4,5681498,0.3,2311464,0.9,73610040,0.3,2069266,0.5,120546,0.9,313412704,0.2,54948947,0.4,28601612,0.5,6042254,1.9,20305080,0.5,61055977,0.3,30969163,0.3,8092407,1.7,21994407,0.4,20396656,1,4219323,1.5,16177333,1.1,727426,1.5,566840,2.2,14883067,1.2,4781250,0.8,2956663,1.1,1824587,0.5,44440756,0.6,5138451,1.9,355544,1.5,205447,1.9,247445,1.5,418418,1.8,7260631,0.7,2814375,0.9,3377463,0.7,2649867,1.1,1796281,0.8,20176834,0.7,40% to less than 50%,30% to less than 40%,40% to less than 50%
5,0100000US,null,United States,3111,null,4,Animal food manufacturing,311,31,3111,2018,57501604,0.5,3011362,0.6,757464,0.7,51994,0.7,38089,1.4,78536,2.4,1938238,1.4,948843,0.8,418534,1.5,63665,0.8,96845,2.2,369800,0.8,38839555,0.5,36651907,0.5,1431750,2,191231,2.8,340811,5.2,223856,4.3,4195019,6.4,D,D,0,X,18613621,0.8,3611346,0.5,1792194,0.6,191420,2.3,1627733,0.9,3735201,0.8,1705004,1.1,230182,7.3,1800015,1.2,1374767,3.1,261233,3.8,1113534,3.2,64088,5.6,76911,7.4,972534,3.1,199095,1.8,106292,1.1,92803,3.9,2485857,2.4,241908,7.5,21012,3.4,11034,2.2,9809,6.8,32300,1.9,433694,2.7,88920,4,111020,2.1,124952,3.4,130717,4.1,1280493,3.2,30% to less than 40%,30% to less than 40%,50% to less than 60%
6,0100000US,null,United States,3111,null,4,Animal food manufacturing,311,31,3111,2019,56457309,0.6,3006554,1.2,766943,1.1,55632,1.3,41903,1.3,81842,1.1,1976962,1.3,951256,1.1,417787,1,60067,1.4,98191,1.9,375211,1.5,35377543,0.9,33267727,0.9,1373860,2.4,193005,3.5,345531,1.6,197419,2.4,4278781,1.9,1328,28,39,27.1,20957353,1.8,3716319,1.2,1767351,2,223776,3.4,1725192,1.1,3483989,1.2,1652053,2.4,216662,3,1615274,1.1,1277626,1.9,254551,2.3,1023075,2.1,54119,2.3,38172,1.6,930783,2.2,214099,4.2,122918,7.1,91181,1.2,2417453,2.2,189768,1.7,26107,5.2,12994,2.3,9215,5.1,33026,3.2,409977,2.3,98177,4.3,122557,4.1,149389,3.8,111859,2.6,1254383,2.9,20% to less than 30%,30% to less than 40%,50% to less than 60%
7,0100000US,null,United States,31111,null,5,Animal food manufacturing,311,31,3111,2018,57501604,0.5,3011362,0.6,757464,0.7,51994,0.7,38089,1.4,78536,2.4,1938238,1.4,948843,0.8,418534,1.5,63665,0.8,96845,2.2,369800,0.8,38839555,0.5,36651907,0.5,1431750,2,191231,2.8,340811,5.2,223856,4.3,4195019,6.4,D,D,0,X,18613621,0.8,3611346,0.5,1792194,0.6,191420,2.3,1627733,0.9,3735201,0.8,1705004,1.1,230182,7.3,1800015,1.2,1374767,3.1,261233,3.8,1113534,3.2,64088,5.6,76911,7.4,972534,3.1,199095,1.8,106292,1.1,92803,3.9,2485857,2.4,241908,7.5,21012,3.4,11034,2.2,9809,6.8,32300,1.9,433694,2.7,88920,4,111020,2.1,124952,3.4,130717,4.1,1280493,3.2,30% to less than 40%,30% to less than 40%,50% to less than 60%
8,0100000US,null,United States,31111,null,5,Animal food manufacturing,311,31,3111,2019,56457309,0.6,3006554,1.2,766943,1.1,55632,1.3,41903,1.3,81842,1.1,1976962,1.3,951256,1.1,417787,1,60067,1.4,98191,1.9,375211,1.5,35377543,0.9,33267727,0.9,1373860,2.4,193005,3.5,345531,1.6,197419,2.4,4278781,1.9,1328,28,39,27.1,20957353,1.8,3716319,1.2,1767351,2,223776,3.4,1725192,1.1,3483989,1.2,1652053,2.4,216662,3,1615274,1.1,1277626,1.9,254551,2.3,1023075,2.1,54119,2.3,38172,1.6,930783,2.2,214099,4.2,122918,7.1,91181,1.2,2417453,2.2,189768,1.7,26107,5.2,12994,2.3,9215,5.1,33026,3.2,409977,2.3,98177,4.3,122557,4.1,149389,3.8,111859,2.6,1254383,2.9,20% to less than 30%,30% to less than 40%,50% to less than 60%
9,0100000US,null,United States,311111,null,6,Dog and cat food manufacturing,311,31,3111,2018,24016497,0.8,1493986,1,373820,1.3,24168,1,19536,1.2,43858,1.5,1017881,1.3,497274,0.6,214908,0.8,41545,0.4,51445,0.8,189376,0.8,13362978,1.1,12601054,1.1,409849,1.2,72224,1.1,126447,1,153404,1.4,1529685,2,0,X,0,X,10644135,0.5,1271410,0.4,702986,0.9,37524,4.1,530900,1.1,1273053,1.9,676110,2.1,55017,5.2,541927,1.9,669864,1.4,130980,1.3,538884,1.4,13553,1.7,50687,0.7,474644,1.5,78277,3.4,42042,1.7,36235,8,1105206,4,103272,4.8,6496,8.2,4140,3.3,4238,14.9,10382,3.6,179748,3.8,45277,6.6,70302,1.6,62656,4.3,55917,3.2,562777,5.6,30% to less than 40%,50% to less than 60%,60% to less than 70%
10,0100000US,null,United States,311111,null,6,Dog and cat food manufacturing,311,31,3111,2019,23494350,1.2,1462200,1.6,383963,1.6,27943,1.8,22657,2,44276,1.7,1020835,2,485423,1.4,210573,1.4,36648,1.4,52443,2.3,185759,2,12908453,1,12136391,1,434900,3.1,72337,5,123643,2.3,141183,1,1509125,2.2,0,X,0,X,10533415,1.8,1298244,1.7,704458,2.1,56248,8.3,537539,1,1276382,1.4,667997,2.5,40226,8.6,568158,0.7,651798,1.8,137635,1.5,514163,2.1,21286,3.6,24441,1.9,468435,2.1,89195,7.1,52181,11.6,37014,2.2,1138496,3.8,84435,2.3,7165,5.8,5534,2.2,2775,10,11363,7.8,157974,3.8,45137,1.3,86441,5.6,67384,2.3,51800,4,618490,4.8,10% to less than 20%,40% to less than 50%,50% to less than 60%
